package_id,Result_field
371,Moisture
373,Moisture
374,Moisture
375,Moisture
376,Moisture
377,Moisture
385,Moisture
386,Moisture
387,Moisture
388,Moisture
389,Moisture
390,Moisture
391,Moisture
392,Moisture
393,Moisture
394,Moisture
397,Moisture
398,Moisture
399,Moisture
400,Moisture
401,Moisture
402,Moisture
403,Moisture
404,Moisture
405,Moisture
408,Moisture
409,Moisture
411,Moisture
412,Moisture
413,Moisture
414,Moisture
416,Moisture
417,Moisture
418,Moisture
419,Moisture
421,Moisture
422,Moisture
423,Moisture
424,Moisture
425,Moisture
426,Moisture
427,Moisture
428,Moisture
429,Moisture
430,Moisture
431,Moisture
432,Moisture
433,Moisture
434,Moisture
435,Moisture
436,Moisture
437,Moisture
438,Moisture
439,Moisture
440,Moisture
441,Moisture
442,Moisture
443,Moisture
444,Moisture
445,Moisture
447,Moisture
448,Moisture
449,Moisture
451,Moisture
452,Moisture
453,Moisture
454,Moisture
455,Moisture
456,Moisture
458,Moisture
459,Moisture
460,Moisture
461,Moisture
462,Moisture
463,Moisture
464,Moisture
465,Moisture
466,Moisture
467,Moisture
468,Moisture
469,Moisture
470,Moisture
482,Moisture
547,Moisture
548,Moisture
549,Moisture
550,Moisture
551,Moisture
552,Moisture
553,Moisture
554,Moisture
556,Moisture
557,Moisture
558,Moisture
559,Moisture
560,Moisture
561,Moisture
562,Moisture
563,Moisture
564,Moisture
565,Moisture
566,Moisture
567,Moisture
568,Moisture
570,Moisture
572,Moisture
590,Moisture
591,Moisture
594,Moisture
604,Moisture
605,Moisture
616,Moisture
617,Moisture
618,Moisture
619,Moisture
620,Moisture
621,Moisture
622,Moisture
623,Moisture
624,Moisture
625,Moisture
626,Moisture
627,Moisture
629,Moisture
630,Moisture
631,Moisture
632,Moisture
633,Moisture
634,Moisture
635,Moisture
636,Moisture
637,Moisture
638,Moisture
639,Moisture
640,Moisture
641,Moisture
642,Moisture
643,Moisture
644,Moisture
645,Moisture
646,Moisture
647,Moisture
650,Moisture
558,"Mold count"
566,"Mold count"
631,"Mold count"
558,Mucor
61,Na
157,Na
158,Na
159,Na
216,Na
217,Na
307,Na
351,Na
352,Na
371,Na
393,Na
409,Na
413,Na
421,Na
468,Na
599,Na
600,Na
601,Na
602,Na
603,Na
629,Na
633,Na
635,Na
636,Na
149,NDFDom12
191,NDFDom12
197,NDFDom12
